frequency,target_ampl,weight
100.0,1.0,1.0
100.69555500567189,0.9999995934513195,1.0
101.39594797900293,0.9999991812287092,1.0
102.10121257071934,0.9999987632530012,1.0
102.81138266560667,0.9999983394439215,1.0
103.52649238413778,0.999997909720077,1.0
104.24657608411218,0.9999974739989405,1.0
104.97166836230677,0.9999970321968327,1.0
105.70180405613809,0.9999965842289075,1.0
106.43701824533605,0.999996130009136,1.0
107.17734625362938,0.9999956694502893,1.0
107.9228236504428,0.9999952024639224,1.0
108.6734862526059,0.9999947289603559,1.0
109.42937012607405,0.9999942488486606,1.0
110.19051158766118,0.9999937620366403,1.0
110.95694720678462,0.9999932684308107,1.0
111.72871380722212,0.9999927679363863,1.0
112.50584846888107,0.9999922604572582,1.0
113.28838852958,0.9999917458959785,1.0
114.07637158684251,0.99999122415374,1.0
114.86983549970365,0.9999906951303579,1.0
115.66881839052891,0.9999901587242499,1.0
116.47335864684577,0.9999896148324189,1.0
117.28349492318807,0.9999890633504294,1.0
118.09926614295324,0.9999885041723923,1.0
118.92071150027232,0.9999879371909399,1.0
119.74787046189309,0.9999873622972092,1.0
120.58078276907628,0.9999867793808189,1.0
121.41948843950493,0.9999861883298486,1.0
122.2640277692071,0.9999855890308176,1.0
123.11444133449189,0.9999849813686633,1.0
123.97076999389893,0.999984365226719,1.0
124.83305489016148,0.9999837404866916,1.0
125.70133745218313,0.9999831070286387,1.0
126.5756593970283,0.9999824647309465,1.0
127.45606273192654,0.9999818134703051,1.0
128.34258975629075,0.9999811531216866,1.0
129.23528306374956,0.9999804835583193,1.0
130.1341855441937,0.9999798046516655,1.0
131.03934038583668,0.999979116271395,1.0
131.95079107728978,0.9999784182853609,1.0
132.8685814096515,0.9999777105595753,1.0
133.79275547861158,0.9999769929581827,1.0
134.72335768656941,0.9999762653434328,1.0
135.6604327447676,0.9999755275756567,1.0
136.60402567543997,0.9999747795132393,1.0
137.5541818139748,0.99997402101259,1.0
138.5109468110929,0.9999732519281193,1.0
139.47436663504098,0.9999724721122071,1.0
140.44448757380016,0.9999716814151764,1.0
141.42135623730996,0.9999708796852655,1.0
142.40501955970765,0.9999700667685971,1.0
143.39552480158324,0.9999692425091492,1.0
144.39291955225013,0.9999684067487266,1.0
145.3972517320316,0.999967559326929,1.0
146.40856959456312,0.9999667000811223,1.0
147.42692172911072,0.9999658288464052,1.0
148.45235706290552,0.9999649454555797,1.0
149.48492486349446,0.9999640497391175,1.0
150.52467474110736,0.9999631415251293,1.0
151.57165665104046,0.9999622206393305,1.0
152.62592089605658,0.999961286905009,1.0
153.6875181288019,0.9999603401429901,1.0
154.75649935423968,0.9999593801716031,1.0
155.8329159321007,0.9999584068066486,1.0
156.91681957935089,0.9999574198613588,1.0
158.0082623726762,0.9999564191463655,1.0
159.10729675098452,0.9999554044696627,1.0
160.2139755179252,0.9999543756365699,1.0
161.32835184442607,0.9999533324496956,1.0
162.45047927124793,0.999952274708899,1.0
163.58041171155708,0.9999512022112509,1.0
164.71820345351549,0.9999501147509968,1.0
165.86390916288923,0.9999490121195174,1.0
167.01758388567478,0.9999478941052867,1.0
168.17928305074383,0.9999467604938348,1.0
169.34906247250638,0.9999456110677037,1.0
170.5269783535923,0.9999444456064092,1.0
171.71308728755173,0.9999432638863953,1.0
172.90744626157402,0.9999420656809951,1.0
174.11011265922582,0.9999408507603839,1.0
175.32114426320803,0.9999396188915393,1.0
176.540599258132,0.9999383698381933,1.0
177.7685362333151,0.9999371033607898,1.0
179.00501418559557,0.999935819216437,1.0
180.25009252216717,0.9999345171588627,1.0
181.5038310634333,0.9999331969383661,1.0
182.76629004588125,0.9999318583017718,1.0
184.03753012497617,0.9999305009923787,1.0
